district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
板橋區,房地(土地+建物)+車位,新北市板橋區華江三路４０號二樓,6.42,住,,,1110210,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090624,56.71,2,2,1,有,有,5900000,104056,坡道平面,17.94,0,親友、員工、共有人或其他特殊關係間之交易；,RPQQMLQKKHHGFAF97EA,22.82,1.39,1.77,有
板橋區,土地,民生段64地號,184.06,,,,1110209,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,8000000,43464,,0,0,本交易總價含111年收件字號板樹登字號005150號之標的。包含公共設施保留地用地；,RPSQMLQKKHHGFAF18EA,0,0,0,無
板橋區,房地(土地+建物),新北市板橋區大明街６３巷１弄２２號三樓,26.6,住,,,1110208,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,74.04,2,2,1,有,無,8500000,114803,,0,0,,RPPNMLTJKHHGFAF67DA,74.04,0,0,無
板橋區,房地(土地+建物)+車位,新北市板橋區文化路一段３６０號二十五樓之１８,3.19,住,,,1110207,土地1建物1車位1,二十五層,四十層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,990715,79.21,0,0,0,無,有,11000000,138871,坡道平面,33.7,0,,RPSNMLOLKHHGFAF67DA,25.47,0,4.44,有
板橋區,房地(土地+建物),新北市板橋區互助街７號十一樓,9.36,住,,,1110218,土地1建物1車位0,十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070606,87.12,2,1,1,有,有,17600000,202020,,0,0,格局為2+1房,RPTNMLNLKHHGFAF77EA,50.07,4.4,3.96,有
板橋區,土地,國光段655地號,4.33,都市：其他:道路用地,,,1110215,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,658667,152117,,0,0,包含公共設施保留地用地；,RPXOMLLJLHHGFAF87DA,0,0,0,無
板橋區,土地,國光段655-1地號,2.67,住,,,1110215,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,621563,232795,,0,0,,RPOPMLLJLHHGFAF07DA,0,0,0,無
板橋區,車位,新北市板橋區大漢街２９號等,0.35,住,,,1110219,土地2建物1車位1,,,其他,,,,30.87,0,0,0,有,有,1850000,,坡道平面,30.87,1850000,僅車位交易；,RPPNMLMJLHHGFAF07DA,0,0,0,有
板橋區,房地(土地+建物),新北市板橋區長江路一段２１２號三樓,18.6,住,,,1110216,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,870815,111.61,3,2,2,有,有,13500000,120957,,0,0,,RPSRMLLJLHHGFAF77EA,74.05,0,10.18,有
板橋區,土地,光華段407地號,5.39,都市：其他:道路用地,,,1110217,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1138133,211156,,0,0,包含公共設施保留地用地；,RPVPMLNJLHHGFAF08EA,0,0,0,無
板橋區,房地(土地+建物),新北市板橋區南雅東路８號四樓之２５,4.02,商,,,1110206,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,861121,32.97,1,0,1,有,有,3950000,119806,,0,0,,RPPQMLNJLHHGFAF57EA,21.57,0,0,有
板橋區,房地(土地+建物)+車位,新北市板橋區環河西路五段２０７號十七樓,14.31,住,,,1110216,土地1建物1車位1,十七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100901,112.18,2,2,1,有,有,15680000,151529,坡道平面,23.22,2200000,,RPRSMLMJLHHGFAF77DA,52.35,4.53,2.74,有
板橋區,房地(土地+建物),新北市板橋區長安街７巷２之４號一樓,29.17,住,,,1110207,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730827,91.8,3,2,2,有,無,17000000,185185,,0,0,陽台外推；,RPTSMLQKKHHGFAF38DA,79.71,12.09,0,無
板橋區,土地,江子翠段第三崁小段209-105地號,1.3,都市：其他:人行步道,,,1110224,土地3建物0車位0,,,其他,,,,0,0,0,0,無,無,258850,199115,,0,0,包含公共設施保留地用地；,RPTPMLNJLHHGFAF87EA,0,0,0,無
板橋區,房地(土地+建物),新北市板橋區中山路一段１６０之１３號四樓,3.33,都市：其他:第一種特定專用區(都市更新地區),,,1110207,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980427,22.22,0,0,0,無,有,4579727,206108,,0,0,股東與關係人交易，依公司法規定因公司發起設立，以土地、建物抵繳股款之土地、建物有權移轉登記親友、員工、共有人或其他特殊關係間之交易；,RPPOMLLJLHHGFAF17EA,13.55,0.73,0.07,有
板橋區,房地(土地+建物),新北市板橋區中正路３３８號十八樓之三,17.41,住,,,1110215,土地1建物1車位0,十八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830531,119.27,3,2,2,有,有,15800000,132473,,0,0,,RPQQMLRJLHHGFAF97DA,81.53,0.86,11.95,有
板橋區,土地,幸福段758地號,10.07,住,,,1110209,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2432000,241509,,0,0,,RPXVMLOJLHHGFAF88DA,0,0,0,無
板橋區,土地,幸福段758地號,109.48,住,,,1110224,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,26496000,242017,,0,0,,RPOWMLOJLHHGFAF08DA,0,0,0,無
板橋區,房地(土地+建物)+車位,新北市板橋區和平路１００號二樓,26.74,住,,,1110212,土地1建物1車位2,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980522,251.83,4,2,3,有,有,30880000,122622,坡道平面,59.59,0,汽車車位編號279及280號。機車車位編號155號。,RPRPMLOJLHHGFAF67DA,122.78,0,9.81,有
